,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
350,2015-08-25,Tuesday,Arsenal,0,0,Liverpool,Draw,Emirates Stadium,London
351,2015-08-23,Sunday,West Brom,2,3,Chelsea,Chelsea,The Hawthorns,West Bromwich
352,2015-08-23,Sunday,Everton,0,2,Man City,Man City,Goodison Park,Liverpool
353,2015-08-23,Sunday,Watford,0,0,Southampton,Draw,Vicarage Road,Watford
354,2015-08-22,Saturday,Man Utd,0,0,Newcastle,Draw,Old Trafford,Manchester
355,2015-08-22,Saturday,Crystal Palace,2,1,Aston Villa,Crystal Palace,Selhurst Park,London
356,2015-08-22,Saturday,Leicester,1,1,Spurs,Draw,King Power Stadium,Leicester
357,2015-08-22,Saturday,Norwich,1,1,Stoke,Draw,Carrow Road,Norwich
358,2015-08-22,Saturday,Sunderland,1,1,Swansea,Draw,Stadium of Light,Sunderland
359,2015-08-22,Saturday,West Ham,3,4,Bournemouth,Bournemouth,Boleyn Ground,London
360,2015-08-18,Tuesday,Liverpool,1,0,Bournemouth,Liverpool,Anfield,Liverpool
361,2015-08-16,Sunday,Crystal Palace,1,2,Arsenal,Arsenal,Selhurst Park,London
362,2015-08-16,Sunday,Man City,3,0,Chelsea,Man City,Etihad Stadium,Manchester
363,2015-08-15,Saturday,Aston Villa,0,1,Man Utd,Man Utd,Villa Park,Birmingham
364,2015-08-15,Saturday,Southampton,0,3,Everton,Everton,St. Mary's Stadium,Southampton
365,2015-08-15,Saturday,Sunderland,1,3,Norwich,Norwich,Stadium of Light,Sunderland
366,2015-08-15,Saturday,Swansea,2,0,Newcastle,Swansea,Liberty Stadium,Swansea
367,2015-08-15,Saturday,Spurs,2,2,Stoke,Draw,White Hart Lane,London
368,2015-08-15,Saturday,Watford,0,0,West Brom,Draw,Vicarage Road,Watford
369,2015-08-15,Saturday,West Ham,1,2,Leicester,Leicester,Boleyn Ground,London
370,2015-08-11,Tuesday,West Brom,0,3,Man City,Man City,The Hawthorns,West Bromwich
371,2015-08-09,Sunday,Chelsea,2,2,Swansea,Draw,Stamford Bridge,London
372,2015-08-09,Sunday,Arsenal,0,2,West Ham,West Ham,Emirates Stadium,London
373,2015-08-09,Sunday,Newcastle,2,2,Southampton,Draw,St. James' Park,Newcastle
374,2015-08-09,Sunday,Stoke,0,1,Liverpool,Liverpool,bet365 Stadium,Stoke
375,2015-08-08,Saturday,Man Utd,1,0,Spurs,Man Utd,Old Trafford,Manchester
376,2015-08-08,Saturday,Bournemouth,0,1,Aston Villa,Aston Villa,Goldsands Stadium,Bournemouth
377,2015-08-08,Saturday,Everton,2,2,Watford,Draw,Goodison Park,Liverpool
378,2015-08-08,Saturday,Leicester,4,2,Sunderland,Leicester,King Power Stadium,Leicester
379,2015-08-08,Saturday,Norwich,1,3,Crystal Palace,Crystal Palace,Carrow Road,Norwich
